FeatureCode,DateCode,Measurement,Units,Value,Gender,Population Group
S12000041,2002,Median,Pounds (GBP),285.1,Female,Residence Based
S12000041,2003,Median,Pounds (GBP),318.5,Female,Residence Based
S12000041,2001,Median,Pounds (GBP),264,Female,Residence Based
S12000041,2005,Median,Pounds (GBP),335.5,Female,Residence Based
S12000041,2006,Median,Pounds (GBP),363.1,Female,Residence Based
S12000041,2004,Median,Pounds (GBP),328.4,Female,Residence Based
S12000027,2005,Median,Pounds (GBP),343.7,Female,Residence Based
S12000027,2004,Median,Pounds (GBP),341.6,Female,Residence Based
S12000027,2008,Median,Pounds (GBP),377,Female,Residence Based
S12000027,2002,Median,Pounds (GBP),274.6,Female,Residence Based
S12000027,2003,Median,Pounds (GBP),276.7,Female,Residence Based
S12000027,2011,Median,Pounds (GBP),545.2,All,Residence Based
S12000027,2010,Median,Pounds (GBP),502.2,All,Residence Based
S12000027,2012,Median,Pounds (GBP),546.1,All,Residence Based
S12000027,2008,Median,Pounds (GBP),461.2,All,Residence Based
S12000027,2009,Median,Pounds (GBP),508.1,All,Residence Based
S12000041,2008,Median,Pounds (GBP),392,Female,Residence Based
S12000041,2009,Median,Pounds (GBP),399.3,Female,Residence Based
S12000041,2007,Median,Pounds (GBP),381.3,Female,Residence Based
S12000041,2011,Median,Pounds (GBP),431.6,Female,Residence Based
S12000041,2010,Median,Pounds (GBP),392.1,Female,Residence Based
S12000041,2011,Median,Pounds (GBP),457.1,All,Residence Based
S12000041,2012,Median,Pounds (GBP),473.1,All,Residence Based
S12000041,2010,Median,Pounds (GBP),460.3,All,Residence Based
S12000027,2011,Median,Pounds (GBP),552.4,Male,Residence Based
S12000027,2012,Median,Pounds (GBP),576.4,Male,Residence Based
S12000041,2006,Median,Pounds (GBP),426.1,All,Residence Based
S12000041,2007,Median,Pounds (GBP),449.1,All,Residence Based
S12000041,2005,Median,Pounds (GBP),391.5,All,Residence Based
S12000041,2009,Median,Pounds (GBP),461.4,All,Residence Based
S12000041,2008,Median,Pounds (GBP),460,All,Residence Based
S12000027,2004,Median,Pounds (GBP),459.5,Male,Residence Based
S12000027,2003,Median,Pounds (GBP),436.5,Male,Residence Based
S12000027,2005,Median,Pounds (GBP),469.8,Male,Residence Based
S12000027,2010,Median,Pounds (GBP),415.2,Female,Residence Based
S12000027,2002,Median,Pounds (GBP),395.5,Male,Residence Based
S12000027,2009,Median,Pounds (GBP),546.7,Male,Residence Based
S12000027,2008,Median,Pounds (GBP),616.3,Male,Residence Based
S12000027,2010,Median,Pounds (GBP),535.6,Male,Residence Based
S12000027,2006,Median,Pounds (GBP),404.2,Male,Residence Based
S12000027,2007,Median,Pounds (GBP),480.1,Male,Residence Based
S12000041,2007,Median,Pounds (GBP),487.1,Male,Residence Based
S12000041,2008,Median,Pounds (GBP),502.9,Male,Residence Based
S12000041,2006,Median,Pounds (GBP),459,Male,Residence Based
S12000041,2010,Median,Pounds (GBP),521.9,Male,Residence Based
S12000041,2011,Median,Pounds (GBP),494.6,Male,Residence Based
S12000041,2009,Median,Pounds (GBP),510.6,Male,Residence Based
S12000041,2002,Median,Pounds (GBP),431.1,Male,Residence Based
S12000041,2003,Median,Pounds (GBP),422.1,Male,Residence Based
S12000041,2001,Median,Pounds (GBP),420.5,Male,Residence Based
S12000041,2005,Median,Pounds (GBP),438,Male,Residence Based
S12000041,2004,Median,Pounds (GBP),425.4,Male,Residence Based
S12000026,2006,Median,Pounds (GBP),342.6,Female,Residence Based
S12000026,2005,Median,Pounds (GBP),310.9,Female,Residence Based
S12000026,2007,Median,Pounds (GBP),333.9,Female,Residence Based
S12000026,2003,Median,Pounds (GBP),286,Female,Residence Based
S12000026,2004,Median,Pounds (GBP),310.8,Female,Residence Based
S12000026,2011,Median,Pounds (GBP),378.2,Female,Residence Based
S12000026,2010,Median,Pounds (GBP),416.4,Female,Residence Based
S12000026,2012,Median,Pounds (GBP),383.7,Female,Residence Based
S12000026,2008,Median,Pounds (GBP),345.3,Female,Residence Based
S12000026,2009,Median,Pounds (GBP),375.1,Female,Residence Based
S12000027,2001,Median,Pounds (GBP),391.3,All,Residence Based
S12000041,2012,Median,Pounds (GBP),438.2,Female,Residence Based
S12000027,2002,Median,Pounds (GBP),367.3,All,Residence Based
S12000026,2011,Median,Pounds (GBP),486.7,Male,Residence Based
S12000026,2012,Median,Pounds (GBP),469.2,Male,Residence Based
S12000027,2006,Median,Pounds (GBP),384.4,All,Residence Based
S12000027,2005,Median,Pounds (GBP),465.6,All,Residence Based
S12000027,2007,Median,Pounds (GBP),446,All,Residence Based
S12000027,2003,Median,Pounds (GBP),422.1,All,Residence Based
S12000027,2004,Median,Pounds (GBP),452.9,All,Residence Based
S12000026,2004,Median,Pounds (GBP),387,Male,Residence Based
S12000026,2003,Median,Pounds (GBP),372.7,Male,Residence Based
S12000026,2005,Median,Pounds (GBP),407.9,Male,Residence Based
S12000026,2001,Median,Pounds (GBP),346.7,Male,Residence Based
S12000026,2002,Median,Pounds (GBP),382.8,Male,Residence Based
S12000026,2009,Median,Pounds (GBP),466.4,Male,Residence Based
S12000026,2008,Median,Pounds (GBP),501.6,Male,Residence Based
S12000026,2010,Median,Pounds (GBP),480.9,Male,Residence Based
S12000026,2006,Median,Pounds (GBP),398.8,Male,Residence Based
S12000026,2007,Median,Pounds (GBP),474.3,Male,Residence Based
S12000029,2004,Median,Pounds (GBP),404.4,All,Residence Based
S12000029,2003,Median,Pounds (GBP),389.6,All,Residence Based
S12000029,2005,Median,Pounds (GBP),421.3,All,Residence Based
S12000029,2001,Median,Pounds (GBP),359.1,All,Residence Based
S12000040,2001,Median,Pounds (GBP),403.9,Male,Residence Based
S12000029,2002,Median,Pounds (GBP),379.8,All,Residence Based
S12000029,2009,Median,Pounds (GBP),496.7,All,Residence Based
S12000029,2008,Median,Pounds (GBP),474.6,All,Residence Based
S12000029,2010,Median,Pounds (GBP),493.8,All,Residence Based
S12000029,2006,Median,Pounds (GBP),439.4,All,Residence Based
S12000029,2007,Median,Pounds (GBP),460,All,Residence Based
S12000028,2008,Median,Pounds (GBP),555,Male,Residence Based
S12000028,2007,Median,Pounds (GBP),527.5,Male,Residence Based
S12000028,2009,Median,Pounds (GBP),568.3,Male,Residence Based
S12000028,2005,Median,Pounds (GBP),489.7,Male,Residence Based
S12000028,2006,Median,Pounds (GBP),511.3,Male,Residence Based
S12000040,2003,Median,Pounds (GBP),389.2,Male,Residence Based
S12000028,2012,Median,Pounds (GBP),570.7,Male,Residence Based
S12000040,2002,Median,Pounds (GBP),412.4,Male,Residence Based
S12000028,2010,Median,Pounds (GBP),551.1,Male,Residence Based
S12000028,2011,Median,Pounds (GBP),558.8,Male,Residence Based
S12000029,2001,Median,Pounds (GBP),288.9,Female,Residence Based
S12000040,2002,Median,Pounds (GBP),292.5,Female,Residence Based
S12000029,2002,Median,Pounds (GBP),315.3,Female,Residence Based
S12000040,2004,Median,Pounds (GBP),320.4,Female,Residence Based
S12000040,2003,Median,Pounds (GBP),304.4,Female,Residence Based
S12000029,2006,Median,Pounds (GBP),389.8,Female,Residence Based
S12000029,2005,Median,Pounds (GBP),380.2,Female,Residence Based
S12000029,2007,Median,Pounds (GBP),385.7,Female,Residence Based
S12000029,2003,Median,Pounds (GBP),339.8,Female,Residence Based
S12000029,2004,Median,Pounds (GBP),367.8,Female,Residence Based
S12000040,2011,Median,Pounds (GBP),410.9,Female,Residence Based
S12000040,2012,Median,Pounds (GBP),437.8,Female,Residence Based
S12000040,2010,Median,Pounds (GBP),408,Female,Residence Based
S12000029,2011,Median,Pounds (GBP),485.1,All,Residence Based
S12000029,2012,Median,Pounds (GBP),505.5,All,Residence Based
S12000040,2006,Median,Pounds (GBP),336.3,Female,Residence Based
S12000040,2007,Median,Pounds (GBP),345,Female,Residence Based
S12000040,2005,Median,Pounds (GBP),326.3,Female,Residence Based
S12000040,2009,Median,Pounds (GBP),370,Female,Residence Based
S12000040,2008,Median,Pounds (GBP),364.1,Female,Residence Based
S12000041,2002,Median,Pounds (GBP),389.2,All,Residence Based
S12000041,2003,Median,Pounds (GBP),376.1,All,Residence Based
S12000041,2001,Median,Pounds (GBP),349.1,All,Residence Based
S12000028,2012,Median,Pounds (GBP),559.8,All,Residence Based
S12000028,2011,Median,Pounds (GBP),549.3,All,Residence Based
S12000041,2004,Median,Pounds (GBP),387,All,Residence Based
S12000028,2004,Median,Pounds (GBP),401.7,Female,Residence Based
S12000028,2003,Median,Pounds (GBP),369.5,Female,Residence Based
S12000028,2005,Median,Pounds (GBP),450.7,Female,Residence Based
S12000028,2001,Median,Pounds (GBP),335.5,Female,Residence Based
S12000028,2002,Median,Pounds (GBP),359.4,Female,Residence Based
S12000028,2004,Median,Pounds (GBP),445.8,All,Residence Based
S12000028,2003,Median,Pounds (GBP),442.7,All,Residence Based
S12000028,2005,Median,Pounds (GBP),485.1,All,Residence Based
S12000028,2001,Median,Pounds (GBP),405,All,Residence Based
S12000028,2002,Median,Pounds (GBP),435.1,All,Residence Based
S12000028,2009,Median,Pounds (GBP),553.9,All,Residence Based
S12000028,2008,Median,Pounds (GBP),516.3,All,Residence Based
S12000028,2010,Median,Pounds (GBP),552.4,All,Residence Based
S12000028,2006,Median,Pounds (GBP),493.3,All,Residence Based
S12000028,2007,Median,Pounds (GBP),472.4,All,Residence Based
S12000040,2006,Median,Pounds (GBP),447.8,Male,Residence Based
S12000040,2007,Median,Pounds (GBP),464.5,Male,Residence Based
S12000040,2005,Median,Pounds (GBP),442.7,Male,Residence Based
S12000040,2009,Median,Pounds (GBP),475.4,Male,Residence Based
S12000040,2008,Median,Pounds (GBP),473.6,Male,Residence Based
S12000028,2003,Median,Pounds (GBP),466.4,Male,Residence Based
S12000028,2002,Median,Pounds (GBP),463.2,Male,Residence Based
S12000028,2004,Median,Pounds (GBP),498.8,Male,Residence Based
S12000040,2004,Median,Pounds (GBP),444.2,Male,Residence Based
S12000028,2001,Median,Pounds (GBP),418.2,Male,Residence Based
S12000028,2009,Median,Pounds (GBP),524.1,Female,Residence Based
S12000028,2008,Median,Pounds (GBP),425,Female,Residence Based
S12000028,2010,Median,Pounds (GBP),563.2,Female,Residence Based
S12000028,2006,Median,Pounds (GBP),479.2,Female,Residence Based
S12000028,2007,Median,Pounds (GBP),426.5,Female,Residence Based
S12000040,2011,Median,Pounds (GBP),501.1,Male,Residence Based
S12000040,2012,Median,Pounds (GBP),513.7,Male,Residence Based
S12000040,2010,Median,Pounds (GBP),504.6,Male,Residence Based
S12000028,2011,Median,Pounds (GBP),522.7,Female,Residence Based
S12000028,2012,Median,Pounds (GBP),533,Female,Residence Based
S12000020,2002,Median,Pounds (GBP),361.4,Male,Residence Based
S12000020,2001,Median,Pounds (GBP),328.5,Male,Residence Based
S12000020,2003,Median,Pounds (GBP),384.9,Male,Residence Based
S12000042,2010,Median,Pounds (GBP),482.9,Male,Residence Based
S12000042,2011,Median,Pounds (GBP),477.5,Male,Residence Based
S12000042,2009,Median,Pounds (GBP),454.4,Male,Residence Based
S12000020,2007,Median,Pounds (GBP),445.5,Male,Residence Based
S12000020,2006,Median,Pounds (GBP),440.3,Male,Residence Based
S12000020,2008,Median,Pounds (GBP),465.7,Male,Residence Based
S12000020,2004,Median,Pounds (GBP),408.9,Male,Residence Based
S12000020,2005,Median,Pounds (GBP),413.9,Male,Residence Based
S12000020,2007,Median,Pounds (GBP),290.8,Female,Residence Based
S12000020,2006,Median,Pounds (GBP),282.7,Female,Residence Based
S12000020,2008,Median,Pounds (GBP),325.8,Female,Residence Based
S12000020,2004,Median,Pounds (GBP),270.2,Female,Residence Based
S12000020,2005,Median,Pounds (GBP),286.7,Female,Residence Based
S12000020,2012,Median,Pounds (GBP),345.6,Female,Residence Based
S12000020,2011,Median,Pounds (GBP),355.1,Female,Residence Based
S12000042,2012,Median,Pounds (GBP),476.2,Male,Residence Based
S12000020,2009,Median,Pounds (GBP),334,Female,Residence Based
